,Unnamed: 0,dataset_id,transformer,clf,noise_level,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy
155,155,40996,AE,DecisionTreeClassifier,40.0,0.5403702751349961,0.5711653023614623,0.5762225174645352,0.5625860316536646
156,156,40996,None,LogisticRegression,40.0,0.7582926202108511,0.7564393777053958,0.7547250675009644,0.7564856884724037
157,157,40996,None,GaussianNB,40.0,0.4042170223707894,0.3605194359919428,0.3634337633394763,0.3760567405674029
158,158,40996,None,KNeighborsClassifier,40.0,0.5235278992028799,0.5090215574508207,0.5092358462263746,0.5139284342933584
159,159,40996,None,DecisionTreeClassifier,40.0,0.5731979086311819,0.5733510478721124,0.5697081386876955,0.5720856983969966
160,160,40996,VAE,LogisticRegression,45.0,0.7539213165338133,0.7602965756653667,0.753782196888527,0.7560000296959023
161,161,40996,VAE,GaussianNB,45.0,0.5914973857889775,0.5899798568550979,0.5572793897055672,0.5795855441165475
162,162,40996,VAE,KNeighborsClassifier,45.0,0.7358789748864318,0.7391248446406378,0.7368533836197659,0.7372857343822785
163,163,40996,VAE,DecisionTreeClassifier,45.0,0.6406959801148538,0.6477092529893285,0.6498949984999786,0.6461000772013868
164,164,40996,SAE,LogisticRegression,45.0,0.7517356646952944,0.7593108472978185,0.7544250632151888,0.7551571917361005
165,165,40996,SAE,GaussianNB,45.0,0.31353389903145623,0.3058329404705781,0.31371876741096305,0.3110285356376658
166,166,40996,SAE,KNeighborsClassifier,45.0,0.6551384246164396,0.6709381562593751,0.6567950970728154,0.6609572259828767
167,167,40996,SAE,DecisionTreeClassifier,45.0,0.6307962629639153,0.6231089015557365,0.621394591351305,0.6250999186236522
168,168,40996,DAE,LogisticRegression,45.0,0.7668209479729151,0.7727681824026057,0.7686966956670809,0.7694286086808674
169,169,40996,DAE,GaussianNB,45.0,0.6142967343790178,0.6241803454335062,0.5997085672652467,0.6127285490259236
170,170,40996,DAE,KNeighborsClassifier,45.0,0.6254821290820263,0.6207517250246433,0.6370376719667424,0.6277571753578041
171,171,40996,DAE,DecisionTreeClassifier,45.0,0.6298105768406617,0.6354090772725325,0.6289375562508036,0.6313857367879993
172,172,40996,AE,LogisticRegression,45.0,0.7561069683723323,0.7649252132173316,0.7581536879098273,0.759728623166497
173,173,40996,AE,GaussianNB,45.0,0.5821547955772692,0.5126644666352377,0.5302361462306604,0.5416851361477225
174,174,40996,AE,KNeighborsClassifier,45.0,0.40391703094197307,0.4103201474306776,0.4228774696781383,0.4123715493502629
175,175,40996,AE,DecisionTreeClassifier,45.0,0.5628267763778178,0.5574508207260104,0.5476363948056401,0.5559713306364894
176,176,40996,None,LogisticRegression,45.0,0.746121539384589,0.7495392791325591,0.7501392877041101,0.7486000354070859
177,177,40996,None,GaussianNB,45.0,0.32471929373446473,0.3175331076158231,0.2945613508764411,0.312271250742243
178,178,40996,None,KNeighborsClassifier,45.0,0.4470729407731208,0.4523636051943599,0.4546779239703425,0.4513714899792744
179,179,40996,None,DecisionTreeClassifier,45.0,0.5588411759664009,0.5618651695024215,0.5585651223588909,0.5597571559425711
180,180,40996,VAE,LogisticRegression,50.0,0.7454358446901517,0.7377533964770925,0.7446106372948185,0.7425999594873542
181,181,40996,VAE,GaussianNB,50.0,0.5766692380217708,0.5979085415505936,0.6003085758367976,0.5916287851363874
182,182,40996,VAE,KNeighborsClassifier,50.0,0.7225507842633068,0.7139244846354947,0.7245960656580809,0.7203571115189608
183,183,40996,VAE,DecisionTreeClassifier,50.0,0.6213679609154024,0.6205802940042,0.6350662152316462,0.6256714900504162
184,184,40996,SAE,LogisticRegression,50.0,0.745735836118968,0.7430249003557193,0.7454249346419235,0.7447285570388703
185,185,40996,SAE,GaussianNB,50.0,0.3098482900488557,0.2943042043457764,0.3039471992457035,0.3026998978801119
186,186,40996,SAE,KNeighborsClassifier,50.0,0.6472529356304105,0.6423091758453692,0.6534093344190631,0.6476571486316143
187,187,40996,SAE,DecisionTreeClassifier,50.0,0.6073540755978399,0.6077229674709639,0.6126944670638153,0.6092571700442064
188,188,40996,DAE,LogisticRegression,50.0,0.7616353818462329,0.7541679166845241,0.7620108858697981,0.7592713948001851
189,189,40996,DAE,GaussianNB,50.0,0.6027684923287906,0.5648652123601766,0.6071229588994128,0.5915855545294599
