dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,latent_dim,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
40996,264.16181286176044,24.88224167268201,4.292972723642985,2.8616985894220943,0.05,csae,"{'ae__latent_dim': 0.05, 'ae__type': 'csae'}",0.8424187880346276,0.8411691595594223,0.8430977585394077,0.8422285687111525,0.0007987536331342244,24
40996,0.6407717863718668,0.011081200465115668,0.0,0.0,0.05,cae,"{'ae__latent_dim': 0.05, 'ae__type': 'cae'}",,,,,,37
40996,77.54570539792378,16.583424061464125,0.19130452473958334,0.0077804791691205915,0.05,cdae,"{'ae__latent_dim': 0.05, 'ae__type': 'cdae'}",0.8449472872203652,0.8290404148630695,0.8457977971113873,0.8399284997316073,0.007706864293041779,25
40996,197.56986983617148,18.007181737635385,0.20711270968119302,0.00614443968301717,0.05,cvae,"{'ae__latent_dim': 0.05, 'ae__type': 'cvae'}",0.8380046284391874,0.8336261946599237,0.8356405091501307,0.8357571107497472,0.0017893886366809322,26
40996,233.5344182650248,44.90700095496282,0.19519488016764322,0.005497640266487314,0.1,csae,"{'ae__latent_dim': 0.1, 'ae__type': 'csae'}",0.8571183680466272,0.8525693224188917,0.854926498949985,0.8548713964718346,0.0018575487868207046,23
40996,0.6178549925486246,0.04694189393441078,0.0,0.0,0.1,cae,"{'ae__latent_dim': 0.1, 'ae__type': 'cae'}",,,,,,33
40996,67.86576922734578,10.149967780192554,0.186142365137736,0.007321487614213516,0.1,cdae,"{'ae__latent_dim': 0.1, 'ae__type': 'cdae'}",0.8506042684494729,0.857540822011743,0.8619123130330433,0.856685801164753,0.004655911193496883,22
40996,0.5809110800425211,0.017817680895833018,0.0,0.0,0.1,cvae,"{'ae__latent_dim': 0.1, 'ae__type': 'cvae'}",,,,,,29
40996,337.4195294380188,26.042701393181286,0.2281798521677653,0.006622550490789077,0.15000000000000002,csae,"{'ae__latent_dim': 0.15000000000000002, 'ae__type': 'csae'}",0.8626896374389303,0.8630266146659238,0.8658980842583466,0.8638714454544002,0.0014396381591969193,21
40996,0.6051506201426188,0.014973190075840762,0.0,0.0,0.15000000000000002,cae,"{'ae__latent_dim': 0.15000000000000002, 'ae__type': 'cae'}",,,,,,39
40996,80.72472810745239,9.372356507817623,0.19269235928853354,0.00783411136377264,0.15000000000000002,cdae,"{'ae__latent_dim': 0.15000000000000002, 'ae__type': 'cdae'}",0.8712179652009943,0.8682124030343291,0.8711695881369734,0.8701999854574322,0.0014055717701472392,20
40996,0.6009644667307535,0.02841686699223474,0.0,0.0,0.15000000000000002,cvae,"{'ae__latent_dim': 0.15000000000000002, 'ae__type': 'cvae'}",,,,,,30
40996,194.97854916254678,18.236009106638885,0.2103878657023112,0.004248631827041201,0.2,csae,"{'ae__latent_dim': 0.2, 'ae__type': 'csae'}",0.8720322276506386,0.8691552736467664,0.8725838940556294,0.8712571317843448,0.0015032053925921889,19
40996,0.6331237157185873,0.04227934982669945,0.0,0.0,0.2,cae,"{'ae__latent_dim': 0.2, 'ae__type': 'cae'}",,,,,,31
40996,74.46404139200847,10.945198568667978,0.1905074119567871,0.0016651516900753963,0.2,cdae,"{'ae__latent_dim': 0.2, 'ae__type': 'cdae'}",0.8756321247964344,0.8781554022200317,0.8751982171173874,0.8763285813779511,0.0013038468111141793,16
40996,208.91442124048868,36.19648669179323,0.21809013684590658,0.01339464141106873,0.2,cvae,"{'ae__latent_dim': 0.2, 'ae__type': 'cvae'}",0.8739178880603411,0.8728838983414049,0.8755839369133844,0.8741285744383768,0.0011123080013981969,18
40996,364.1542901992798,40.77465775117327,0.21826942761739096,0.008548439120881442,0.25,csae,"{'ae__latent_dim': 0.25, 'ae__type': 'csae'}",0.8749035741835948,0.8729696138516264,0.8773411048729267,0.8750714309693827,0.0017885963514682978,17
40996,0.6098465919494629,0.029377456414441734,0.0,0.0,0.25,cae,"{'ae__latent_dim': 0.25, 'ae__type': 'cae'}",,,,,,35
40996,88.17636585235596,7.466384995471699,0.20105950037638345,0.007470415290290618,0.25,cdae,"{'ae__latent_dim': 0.25, 'ae__type': 'cdae'}",0.8775606411245394,0.8808125830369006,0.8819697424248918,0.8801143221954438,0.001866497561606804,13
40996,217.07588744163513,55.974176057603025,0.23262357711791992,0.008151901372367806,0.25,cvae,"{'ae__latent_dim': 0.25, 'ae__type': 'cvae'}",0.8771749378589183,0.8786268375262504,0.8791411305875798,0.8783143019909162,0.000832561231860382,15
40996,298.42973311742145,69.4191793354191,0.21611674626668295,0.0026507906318430944,0.3,csae,"{'ae__latent_dim': 0.3, 'ae__type': 'csae'}",0.8782034799005742,0.879912570179574,0.8811983028328976,0.8797714509710154,0.001226696667819888,14
40996,0.5940389633178711,0.01687030220110531,0.0,0.0,0.3,cae,"{'ae__latent_dim': 0.3, 'ae__type': 'cae'}",,,,,,27
40996,92.21990060806274,12.996840244979497,0.2115949789683024,0.01250081407004102,0.3,cdae,"{'ae__latent_dim': 0.3, 'ae__type': 'cdae'}",0.8833461901088541,0.8840697724253204,0.8836840526293233,0.8837000050544992,0.00029561653322892224,9
40996,261.05239423116046,53.908011267795445,0.22975556055704752,0.010596002232142625,0.3,cvae,"{'ae__latent_dim': 0.3, 'ae__type': 'cvae'}",0.8799177166366675,0.8805982942613466,0.8820554579351133,0.8808571562777091,0.0008917180505094772,12
