,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_accuracy,hidden_dims,type
22,40668,0.6921327114105225,0.02647618492924739,0.01393453280131022,0.004296679178322687,0.6747043237562355,0.15000000000000002,PCA
23,40668,0.7806084950764974,0.0475802464149736,0.011701424916585287,0.00029326753752580896,0.69396213567802,0.2,PCA
24,40668,0.9095468521118164,0.03145955858537723,0.011743863423665363,0.00024482800819183083,0.7018369673016861,0.25,PCA
25,40668,1.0325779120127359,0.03157578039022785,0.011976877848307293,0.00013195965207011436,0.7152330624509674,0.3,PCA
26,40668,1.1562256813049316,0.012397938360338158,0.012098153432210287,0.00013960520223750802,0.7234631496366032,0.35000000000000003,PCA
27,40668,1.304300308227539,0.01916138139290697,0.012569268544514976,0.00016221650799037548,0.7305830631910831,0.4,PCA
28,40668,1.3489558696746826,0.03549758805195445,0.013316631317138672,0.000963112519986726,0.7347869206743934,0.45,PCA
29,40668,1.5987786451975503,0.06634264939552828,0.01622883478800456,0.0026445130379309147,0.7412259277350978,0.5,PCA
30,40668,1.7399011452992756,0.037267406645403976,0.014598766962687176,0.0010119244054824417,0.7467619935757952,0.55,PCA
31,40668,1.8166029453277588,0.10648249657235576,0.014960289001464844,0.0013394340071731766,0.7484494574951522,0.6000000000000001,PCA
32,40668,2.0551331837972007,0.09304310425741336,0.014452695846557615,5.8826130702335594e-05,0.7516467575528812,0.6500000000000001,PCA
33,40668,2.3026345570882163,0.17678385025124604,0.01479204495747884,6.593479586944557e-05,0.7516911644981276,0.7000000000000001,PCA
34,40668,2.8140326340993247,0.10428020610494246,0.015229940414428713,5.985810114969423e-05,0.7540299302810961,0.7500000000000001,PCA
35,40668,3.3036330540974936,0.12974008914807286,0.01798081398010254,0.002387930916777209,0.755924626611602,0.8,PCA
36,40668,2.8789328734079995,0.1369419861537501,0.018264055252075195,0.001978773560703018,0.7559986381870125,0.8500000000000001,PCA
37,40668,3.9706493218739833,0.2899569945580527,0.02384797732035319,0.010130509034487829,0.7565315215299674,0.9000000000000001,PCA
38,40668,8.105989456176758,4.1297398661421285,0.017208019892374676,0.00043389702529340917,0.7572568349689893,0.9500000000000001,PCA
39,40668,7.181456406911213,2.526098512261249,0.017300526301066082,0.000128919039757785,0.7575676835857128,1.0,PCA
40,1492,4.464200655619304,0.2989517454572158,0.0013758341471354167,0.0003245293079576951,0.37187450958347096,0.05,PCA
41,1492,2.4920233885447183,0.023220144101804324,0.0010759830474853516,0.00022190618465097665,0.5399945658920721,0.1,PCA
42,1492,2.5208326180775957,0.035417886908174316,0.0009796619415283203,8.918915814713158e-05,0.5918785851644169,0.15000000000000002,PCA
43,1492,2.8991914590199785,0.5024514323223134,0.0009185473124186198,1.5192001594448919e-05,0.5762555248715839,0.2,PCA
44,1492,2.915771961212158,0.4694080119935436,0.0010947386423746746,0.00025196729482773267,0.5849864030187407,0.25,PCA
45,1492,3.1233615875244136,0.6867912326610361,0.0010695457458496094,0.0001475155432620817,0.5906125785544805,0.3,PCA
