dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_accuracy,hidden_dims,type,compression,mean_test_reconstruction_error
44,20.99646155039469,3.6138482204989963,0.009123484293619793,0.0015368282878161401,0.8843765423751493,0.05,AE,95.0,0.061024134357770286
44,17.489192406336468,2.2444151855095047,0.009827613830566406,0.0007637628443404237,0.8787224307307892,0.05,DAE,95.0,0.061372622847557075
44,23.25211477279663,0.8554332046128584,0.010712782541910808,0.0007523114396625593,0.8835060793500542,0.05,SAE,95.0,0.060838834693034485
44,19.29721315701802,4.110946426648368,0.011412541071573893,0.002694067000138621,0.8904590108444298,0.1,AE,90.0,0.05667101840178172
44,17.133464177449547,3.1406804812913043,0.01319559415181478,0.0019063612680403914,0.8950229529519058,0.1,DAE,90.0,0.05767771725853285
44,22.27257601420085,2.975784316942933,0.01274418830871582,0.0016627743935735545,0.8954596727988879,0.1,SAE,90.0,0.05703990782300631
44,21.828055381774906,1.2293931184125657,0.01153890291849772,0.0007825004391070013,0.9076263106910888,0.15000000000000002,AE,85.0,0.054011167337497085
44,19.036074161529537,3.2336917293816487,0.011335293451944986,0.001897798883743918,0.9006739461812598,0.15000000000000002,DAE,85.0,0.055117111653089516
44,24.902097145716358,0.5103050781022179,0.01411302884419759,0.003757229758613932,0.9041512624052674,0.15000000000000002,SAE,85.0,0.05443124597271284
44,23.73394091924032,0.1828725026566503,0.014453172683715819,0.002839361229373343,0.902193181273748,0.2,AE,80.0,0.052646514028310776
44,17.041535933812455,2.7249864231974192,0.015307426452636719,0.00034270346604200813,0.9032819333492657,0.2,DAE,80.0,0.054644564787546784
44,25.08290298779805,0.5242280091699805,0.017102638880411785,0.0034452351354267072,0.8987195504492927,0.2,SAE,80.0,0.0529738316933314
44,22.769593636194863,0.9788938122361782,0.02180814743041992,0.0074577487058591204,0.9063259316335702,0.25,AE,75.0,0.05112935354312261
44,19.02950636545817,1.4239472683838783,0.012248357137044271,0.0016236259762561346,0.9089320761018,0.25,DAE,75.0,0.053586984674135835
44,23.524124463399247,2.6980043554953186,0.01645827293395996,0.0023959551790183825,0.9098023973807582,0.25,SAE,75.0,0.05147803698976835
44,19.08859697977702,0.4264102849027484,0.015266974767049152,0.0010043096436089703,0.9091500816599494,0.3,AE,70.0,0.05084099620580673
44,15.054918845494587,2.176515114773008,0.015713612238566082,0.000377869521692952,0.9128449782036966,0.3,DAE,70.0,0.05197674408555032
44,25.29994773864746,0.28813758465899064,0.01325662930806478,0.0014110259087820375,0.9134977191629154,0.3,SAE,70.0,0.05161046236753464
44,19.55782151222229,3.1766678268118067,0.013100147247314451,0.0029533420954914393,0.9121937964519808,0.35000000000000003,AE,64.99999999999999,0.0498092124859492
44,17.595272620518998,2.4462825134457167,0.024583816528320312,0.009706753521765624,0.9108877475489968,0.35000000000000003,DAE,64.99999999999999,0.052804614106814064
44,23.70415425300598,3.2057530062922366,0.01950303713480632,0.00480683602697672,0.911540205015942,0.35000000000000003,SAE,64.99999999999999,0.05083677793542544
