,dataset_id,clf,hidden_dims,split0_test_accuracy,split0_fit_time_transformer,split0_fit_time_clf,split0_score_time,split1_test_accuracy,split1_fit_time_transformer,split1_fit_time_clf,split1_score_time,split2_test_accuracy,split2_fit_time_transformer,split2_fit_time_clf,split2_score_time,mean_fit_time_clf,mean_fit_time_ae,mean_score_time,mean_test_accuracy,compression
0,40996,LogisticRegression,0.25,0.8699751435673266,120.24460172653198,32.473995447158806,0.03346061706542969,0.8733124758925127,98.9995973110199,31.07537293434143,0.026421308517456055,0.8738267689538421,116.5038559436798,32.59124875068665,0.024411916732788086,32.04687237739563,111.91601832707724,0.02809794743855794,0.8723714628045606,75.0
1,40996,DecisionTreeClassifier,0.25,0.774192165938116,120.24460172653198,22.11936378479004,0.010526657104492188,0.7728967556679381,98.9995973110199,23.909068822860718,0.011124849319458008,0.7807825826083229,116.5038559436798,23.60088348388672,0.011218547821044922,23.20977203051249,111.91601832707724,0.010956684748331705,0.7759571680714591,75.0
2,40996,GaussianNB,0.25,0.7556784091883089,120.24460172653198,0.061434268951416016,0.274686336517334,0.7431106158659408,98.9995973110199,0.06307196617126465,0.2830958366394043,0.7513393048472121,116.5038559436798,0.06354784965515138,0.2696888446807861,0.06268469492594403,111.91601832707724,0.2758236726125081,0.7500427766338206,75.0
3,40996,LinearSVC,0.25,0.8549755721265107,120.24460172653198,15.826746702194214,0.02026081085205078,0.8625551793597052,98.9995973110199,16.094692707061768,0.0191652774810791,0.8686409805854369,116.5038559436798,16.93051815032959,0.02698063850402832,16.28398585319519,111.91601832707724,0.02213557561238607,0.8620572440238843,75.0
4,40996,LogisticRegression,0.5,0.8825319276592097,62.6727466583252,35.61538648605347,0.039362430572509766,0.8838554836497664,75.42742681503294,33.8711142539978,0.04013538360595703,0.8825697509964429,106.67413854599,38.986270189285285,0.04065775871276856,36.157590309778854,81.5914373397827,0.04005185763041178,0.882985720768473,50.0
5,40996,DecisionTreeClassifier,0.5,0.7783491900231422,62.6727466583252,45.22360849380493,0.0172884464263916,0.7738824840354862,75.42742681503294,45.05166006088257,0.01915764808654785,0.7777825397505679,106.67413854599,48.86621904373169,0.01874709129333496,46.380495866139725,81.5914373397827,0.018397728602091483,0.7766714046030655,50.0
6,40996,GaussianNB,0.5,0.7623639324590726,62.6727466583252,0.12976908683776855,0.615013837814331,0.7659966570951013,75.42742681503294,0.12877488136291504,0.6177237033843994,0.7648823554622209,106.67413854599,0.13522648811340332,0.647820234298706,0.1312568187713623,81.5914373397827,0.6268525918324789,0.7644143150054651,50.0
7,40996,LinearSVC,0.5,0.8766606668380903,62.6727466583252,24.60090184211731,0.03578042984008789,0.8752410748724981,75.42742681503294,23.0377254486084,0.03382134437561035,0.8779411134444778,106.67413854599,22.95748424530029,0.04236865043640137,23.532037178675328,81.5914373397827,0.0373234748840332,0.8766142850516888,50.0
8,40996,LogisticRegression,0.75,0.8875889260306848,63.39839482307434,40.31611204147339,0.0715181827545166,0.8870698152830755,80.99025988578795,36.751100063323975,0.06711101531982422,0.8882269746710667,35.415422201156616,39.53388023376465,0.0808556079864502,38.867030779520675,59.93469230333965,0.07316160202026367,0.8876285719949424,25.0
9,40996,DecisionTreeClassifier,0.75,0.7811348247192937,63.39839482307434,71.65652918815613,0.02364325523376465,0.7800968585265504,80.99025988578795,83.3204061985016,0.02533531188964844,0.7789825568936699,35.415422201156616,73.6326105594635,0.0247647762298584,76.2031819820404,59.93469230333965,0.024581114451090496,0.780071413379838,25.0
10,40996,GaussianNB,0.75,0.7694780149138596,63.39839482307434,0.1898643970489502,0.9301657676696776,0.7758967985256933,80.99025988578795,0.18799829483032227,0.9434020519256592,0.7800540007714396,35.415422201156616,0.18561244010925293,0.9429287910461426,0.18782504399617514,59.93469230333965,0.9388322035471598,0.7751429380703309,25.0
11,40996,LinearSVC,0.75,0.8787606068398046,63.39839482307434,29.965426206588745,0.04991412162780762,0.884326918955985,80.99025988578795,28.46025013923645,0.05771827697753906,0.8773411048729267,35.415422201156616,32.40384578704834,0.05852437019348145,30.27650737762451,59.93469230333965,0.055385589599609375,0.8801428768895722,25.0
12,40996,LogisticRegression,1.0,0.8902031370532271,53.117995977401726,35.47727918624878,0.08475565910339355,0.8889126987528393,76.64593839645386,40.47392535209657,0.07721805572509766,0.8910984442634895,52.85140204429626,41.98014998435974,0.08406615257263184,39.31045150756836,60.87177880605061,0.08201328913370769,0.8900714266898518,0.0
13,40996,DecisionTreeClassifier,1.0,0.7778777749207165,53.117995977401726,95.48845982551576,0.02925705909729004,0.7813825911798741,76.64593839645386,105.2917821407318,0.02917170524597168,0.7818111687309819,52.85140204429626,96.47228789329529,0.03013944625854492,99.0841766198476,60.87177880605061,0.029522736867268883,0.7803571782771908,0.0
14,40996,GaussianNB,1.0,0.7756921230821977,53.117995977401726,0.2697396278381348,1.2749388217926023,0.769896712810183,76.64593839645386,0.24680280685424805,1.267974615097046,0.7687395534221917,52.85140204429626,0.2593188285827637,1.2612760066986084,0.2586204210917155,60.87177880605061,1.2680631478627522,0.7714427964381908,0.0
15,40996,LinearSVC,1.0,0.8855746978657753,53.117995977401726,33.20137190818786,0.07205486297607422,0.8879269703852912,76.64593839645386,29.86107468605041,0.0851433277130127,0.8880555436506236,52.85140204429626,32.32709503173828,0.07716608047485353,31.796513875325516,60.87177880605061,0.07812142372131348,0.8871857373005634,0.0
