,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,hidden_dims,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_reconstruction_error,split1_test_reconstruction_error,split2_test_reconstruction_error,mean_test_reconstruction_error,std_test_reconstruction_error,rank_test_reconstruction_error,ae_mean_fit_time,ae_std_fit_time,ae_mean_score_time,ae_std_score_time,compression
0,44,20.99646155039469,3.6138482204989963,0.009123484293619793,0.0015368282878161401,0.05,AE,"{'ae__hidden_dims': 0.05, 'ae__type': 'ae'}",0.8904823989569752,0.8617992177314211,0.9008480104370516,0.8843765423751493,0.016515914878084403,142,0.06134068965911865,0.06156498566269875,0.06016672775149345,0.061024134357770286,0.0006131539995090214,2.0,34.838120301564544,3.4473065728964336,0.009009838104248049,0.0009256500546335935,20.0
1,44,17.489192406336468,2.2444151855095047,0.009827613830566406,0.0007637628443404237,0.05,DAE,"{'ae__hidden_dims': 0.05, 'ae__type': 'dae'}",0.8891786179921773,0.8663624511082139,0.8806262230919765,0.8787224307307892,0.00941143583927214,145,0.0625152662396431,0.06081734597682952,0.06078525632619858,0.061372622847557075,0.0008080770910120742,1.0,33.63274010022481,7.309564318170388,0.007199207941691081,0.0017482668541940474,20.0
2,44,23.25211477279663,0.8554332046128584,0.010712782541910808,0.0007523114396625593,0.05,SAE,"{'ae__hidden_dims': 0.05, 'ae__type': 'sae'}",0.8826597131681877,0.8728813559322034,0.8949771689497716,0.8835060793500542,0.009040408914504923,143,0.06037922203540803,0.0597640797495842,0.06237320229411125,0.060838834693034485,0.0011136465505649097,3.0,48.18854220708212,4.508383361425085,0.009096066157023113,0.0005760769590625073,20.0
3,44,19.29721315701802,4.110946426648368,0.011412541071573893,0.002694067000138621,0.1,AE,"{'ae__hidden_dims': 0.1, 'ae__type': 'ae'}",0.9035202086049544,0.8754889178617992,0.8923679060665362,0.8904590108444298,0.011523055899906652,141,0.0572546124458313,0.05644536763429641,0.05631307512521744,0.05667101840178172,0.0004161825185958769,6.0,35.627331097920745,5.0034025073906285,0.0071163177490234375,0.0008605101131864702,10.0
4,44,17.133464177449547,3.1406804812913043,0.01319559415181478,0.0019063612680403914,0.1,DAE,"{'ae__hidden_dims': 0.1, 'ae__type': 'dae'}",0.8950456323337679,0.894393741851369,0.8956294846705806,0.8950229529519058,0.0005047447173766657,138,0.05790308490395546,0.05794737488031387,0.057182691991329186,0.05767771725853285,0.00035050241262031296,4.0,31.153620640436806,3.8593007528838177,0.008566697438557943,0.0006113124690931497,10.0
5,44,22.27257601420085,2.975784316942933,0.01274418830871582,0.0016627743935735545,0.1,SAE,"{'ae__hidden_dims': 0.1, 'ae__type': 'sae'}",0.8911342894393742,0.8898305084745762,0.9054142204827136,0.8954596727988879,0.007059023817932625,137,0.056813996285200126,0.05712957307696344,0.057176154106855386,0.05703990782300631,0.00016087151243962438,5.0,48.547254721323654,0.47778600756716,0.008948723475138346,0.0005357487876265918,10.0
6,44,21.828055381774906,1.2293931184125657,0.01153890291849772,0.0007825004391070013,0.15000000000000002,AE,"{'ae__hidden_dims': 0.15000000000000002, 'ae__type': 'ae'}",0.9165580182529336,0.910039113428944,0.8962818003913894,0.9076263106910888,0.008451724300640293,124,0.05375589430332184,0.05305569991469383,0.05522190779447556,0.054011167337497085,0.0009025842106935252,10.0,36.637055476506546,4.006546899596976,0.007295131683349609,0.0012580770469399548,6.666666666666666
7,44,19.036074161529537,3.2336917293816487,0.011335293451944986,0.001897798883743918,0.15000000000000002,DAE,"{'ae__hidden_dims': 0.15000000000000002, 'ae__type': 'dae'}",0.8924380704041721,0.9080834419817472,0.9015003261578604,0.9006739461812598,0.006413869910820468,134,0.056584492325782776,0.054720688611269004,0.0540461540222168,0.055117111653089516,0.0010735156440102867,7.0,32.47804506619772,5.518995555097939,0.008977651596069336,0.001406762031170374,6.666666666666666
8,44,24.902097145716358,0.5103050781022179,0.01411302884419759,0.003757229758613932,0.15000000000000002,SAE,"{'ae__hidden_dims': 0.15000000000000002, 'ae__type': 'sae'}",0.9002607561929595,0.9080834419817472,0.9041095890410958,0.9041512624052674,0.003193734046481812,131,0.05480880290269852,0.05396366864442825,0.054521266371011734,0.05443124597271284,0.0003508472912896498,9.0,48.94626545906067,0.38061881046608464,0.009154081344604492,0.001272046261637973,6.666666666666666
9,44,23.73394091924032,0.1828725026566503,0.014453172683715819,0.002839361229373343,0.2,AE,"{'ae__hidden_dims': 0.2, 'ae__type': 'ae'}",0.9048239895697524,0.9087353324641461,0.8930202217873451,0.902193181273748,0.006679922160912284,133,0.05282104015350342,0.053134679794311516,0.05198382213711738,0.052646514028310776,0.00048577282966537843,14.0,35.917402029037476,3.9095602780917478,0.008184274037679037,0.0005939549414469874,5.0
10,44,17.041535933812455,2.7249864231974192,0.015307426452636719,0.00034270346604200813,0.2,DAE,"{'ae__hidden_dims': 0.2, 'ae__type': 'dae'}",0.9054758800521512,0.9009126466753584,0.903457273320287,0.9032819333492657,0.0018670534346660085,132,0.05476630106568337,0.05470501631498337,0.05446237698197365,0.054644564787546784,0.0001312332593558988,8.0,28.69354128837585,0.25245876374766363,0.007928133010864258,0.0011267928916589489,5.0
11,44,25.08290298779805,0.5242280091699805,0.017102638880411785,0.0034452351354267072,0.2,SAE,"{'ae__hidden_dims': 0.2, 'ae__type': 'sae'}",0.9028683181225554,0.8859191655801826,0.9073711676451404,0.8987195504492927,0.009236027394710676,135,0.053521137684583664,0.052783265709877014,0.05261709168553352,0.0529738316933314,0.000392904855011231,12.0,47.88599705696106,2.3610263577858968,0.008579730987548828,0.0008502679103964215,5.0
12,44,22.769593636194863,0.9788938122361782,0.02180814743041992,0.0074577487058591204,0.25,AE,"{'ae__hidden_dims': 0.25, 'ae__type': 'ae'}",0.910039113428944,0.8970013037809648,0.9119373776908024,0.9063259316335702,0.006638893745404318,128,0.05150483548641205,0.05090426653623581,0.05097895860671997,0.05112935354312261,0.0002672511224181142,23.0,39.22607485453288,0.09473163638078844,0.008467674255371094,0.000865509839162517,4.0
13,44,19.02950636545817,1.4239472683838783,0.012248357137044271,0.0016236259762561346,0.25,DAE,"{'ae__hidden_dims': 0.25, 'ae__type': 'dae'}",0.9113428943937418,0.910039113428944,0.9054142204827136,0.9089320761018,0.002543808472690061,121,0.054481130093336105,0.05320458114147186,0.05307524278759957,0.053586984674135835,0.0006344573142737591,11.0,26.224980433781944,2.6620051357719197,0.008405367533365885,0.00010112289809943951,4.0
14,44,23.524124463399247,2.6980043554953186,0.01645827293395996,0.0023959551790183825,0.25,SAE,"{'ae__hidden_dims': 0.25, 'ae__type': 'sae'}",0.9152542372881356,0.9035202086049544,0.9106327462491846,0.9098023973807582,0.004826245381032232,117,0.05191018059849739,0.05092882364988327,0.051595106720924384,0.05147803698976835,0.00040910011538580087,20.0,48.88161118825278,0.27592614037798097,0.008989095687866211,0.0005692367610611932,4.0
15,44,19.08859697977702,0.4264102849027484,0.015266974767049152,0.0010043096436089703,0.3,AE,"{'ae__hidden_dims': 0.3, 'ae__type': 'ae'}",0.9061277705345502,0.9126466753585396,0.908675799086758,0.9091500816599494,0.0026823792915349398,119,0.05209202319383621,0.04974828660488129,0.0506826788187027,0.05084099620580673,0.0009633530318272404,31.0,31.758135477701828,6.36230173955263,0.007753769556681315,0.0014331946287654204,3.3333333333333335
16,44,15.054918845494587,2.176515114773008,0.015713612238566082,0.000377869521692952,0.3,DAE,"{'ae__hidden_dims': 0.3, 'ae__type': 'dae'}",0.9139504563233376,0.9119947848761408,0.9125896934116112,0.9128449782036966,0.0008185517479662227,106,0.05217268317937851,0.0513869896531105,0.05237055942416191,0.05197674408555032,0.000424771679846316,16.0,33.189666509628296,2.28500927888374,0.008414427439371744,0.00035060808329625295,3.3333333333333335
17,44,25.29994773864746,0.28813758465899064,0.01325662930806478,0.0014110259087820375,0.3,SAE,"{'ae__hidden_dims': 0.3, 'ae__type': 'sae'}",0.910039113428944,0.9139504563233376,0.9165035877364645,0.9134977191629154,0.0026584563466378565,104,0.05152324959635735,0.05157475546002388,0.05173338204622269,0.05161046236753464,8.942463886643647e-05,17.0,46.565282185872405,3.9971119689286394,0.008677959442138672,0.0007529030976203909,3.3333333333333335
