dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,latent_activation,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
1492,7.385299364725749,0.7861275185061963,0.0040836334228515625,0.001320808501530069,relu,ae,"{'ae__latent_activation': 'relu', 'ae__type': 'ae'}",0.548689138576779,0.5872420262664165,0.5440900562851783,0.5600070737094579,0.019349330222104465,10
1492,5.357375780741374,0.6936072726861462,0.004451354344685872,0.001214457988503103,relu,dae,"{'ae__latent_activation': 'relu', 'ae__type': 'dae'}",0.5561797752808989,0.5159474671669794,0.5140712945590994,0.5287328456689925,0.019423018384627143,12
40668,133.97010509173074,18.38342358963719,0.02589877446492513,0.003572553423392705,sigmoid,sae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'sae'}",0.7186820018650917,0.7170833518362272,0.7034504196456326,0.7130719244489838,0.006834663439135346,11
40668,121.01125359535217,8.044340641060755,0.04448231061299642,0.002090153685014436,sigmoid,ae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'ae'}",0.719303699098539,0.7120209600781562,0.7248989741995648,0.7187412111254199,0.005272450819604852,8
40668,154.4397339026133,17.68498234137643,0.026880184809366863,0.003516385321609715,sigmoid,dae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'dae'}",0.7240552422398863,0.7206359074559261,0.7192592921532928,0.7213168139497017,0.0020162687565936257,6
40668,59.57958173751831,14.3857640298741,0.04349287350972494,0.01567942964753843,tanh,sae,"{'ae__latent_activation': 'tanh', 'ae__type': 'sae'}",0.7179270837959056,0.7204138727296949,0.7146853767929304,0.7176754444395104,0.002345408024011619,9
40668,86.01124445597331,11.719243708249767,0.01826024055480957,0.00044673258842208426,tanh,ae,"{'ae__latent_activation': 'tanh', 'ae__type': 'ae'}",0.7183711532483681,0.725121008925796,0.7206803144011723,0.7213908255251121,0.002801042360676724,5
40668,102.18732873598735,16.3072931791195,0.017426729202270508,0.0011541818050600143,tanh,dae,"{'ae__latent_activation': 'tanh', 'ae__type': 'dae'}",0.7241440561303788,0.7247657533638261,0.7156179226431014,0.7215092440457688,0.0041735179217429015,4
40668,33.341699043909706,9.009061289848757,0.05061046282450358,0.01941761642551352,selu,sae,"{'ae__latent_activation': 'selu', 'ae__type': 'sae'}",0.7124650295306186,0.713664017052267,0.7098450197610906,0.7119913554479921,0.0015946703797163982,12
40668,59.770134131113686,6.968280358111383,0.03459906578063965,0.01806182258294887,selu,ae,"{'ae__latent_activation': 'selu', 'ae__type': 'ae'}",0.7208579421821573,0.7244993116923487,0.7153514809716239,0.72023624494871,0.00376037075400073,7
