,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,activation,n_layers,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_reconstruction_error,split1_test_reconstruction_error,split2_test_reconstruction_error,mean_test_reconstruction_error,std_test_reconstruction_error,rank_test_reconstruction_error
0,40996,277.1445563634236,31.53076042682681,0.7731891473134359,0.010745232807717695,SELU,1,ae,"{'ae__activation': 'selu', 'ae__n_layers': 1, 'ae__type': 'ae'}",0.8667180937687494,0.8691552736467664,0.8706552950756441,0.8688428874970532,0.00162246260617464,44,0.2588328719139099,0.2595239281654358,0.2593244910240173,0.25922709703445435,0.00029040647099711387,65
1,40996,133.69055922826132,19.950554541313984,0.6970174312591553,0.004992991267392786,SELU,1,vae,"{'ae__activation': 'selu', 'ae__n_layers': 1, 'ae__type': 'vae'}",0.8553184194737293,0.8510264432349034,0.8544122058886555,0.8535856895324293,0.0018470899588259651,60,0.29392793774604803,0.2940875887870789,0.2932799458503723,0.2937651574611664,0.00034923234306365094,17
2,40996,222.65182550748193,42.59790137150168,0.6903386910756429,0.0051881425218019426,SELU,1,dae,"{'ae__activation': 'selu', 'ae__n_layers': 1, 'ae__type': 'dae'}",0.8736607525499271,0.8749410705867227,0.8747696395662795,0.8744571542343098,0.0005674732774079372,25,0.2636852562427521,0.2646420896053314,0.26468661427497864,0.2643379867076874,0.000461907931982692,56
3,40996,291.4834749698639,37.47084523212596,0.7097550233205161,0.017323984996071563,SELU,1,sae,"{'ae__activation': 'selu', 'ae__n_layers': 1, 'ae__type': 'sae'}",0.8667609496871518,0.8683838340547723,0.8715981656880812,0.8689143164766685,0.002010095082306242,43,0.2546125054359436,0.25552746653556824,0.25586071610450745,0.2553335626920064,0.0005277035112574613,77
4,40996,150.91442823410034,26.367808164957104,0.6978445847829183,0.012661081660948316,SELU,2,ae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'ae'}",0.8698894317305219,0.8726696095658509,0.8720267432391892,0.8715285948451874,0.0011884053926301018,34,0.2569686472415924,0.25627309083938604,0.255555272102356,0.25626567006111145,0.0005770318431511174,75
5,40996,155.5758496125539,16.242683679296277,0.7135390440622965,0.031115217055039786,SELU,2,vae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'vae'}",0.8580183423330762,0.8577122530321861,0.8616551665023786,0.8591285872892135,0.0017909261208153093,56,0.2860158383846283,0.2858303785324097,0.2843576371669769,0.28540128469467163,0.0007418440809872322,27
6,40996,122.6296745141347,12.018883219147224,0.6845320860544839,0.00688724496521071,SELU,2,dae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'dae'}",0.8798748607182652,0.8794411348733553,0.8815840226288947,0.880300006073505,0.0009250417695151939,7,0.2649470865726471,0.2648972868919373,0.2640191614627838,0.26462117830912274,0.0004261754055992937,53
7,40996,254.6081912517548,23.37897932210241,0.7056789398193359,0.00390773100720454,SELU,2,sae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'sae'}",0.8705322705065569,0.8685124073201046,0.8709552993614195,0.869999992396027,0.0010659644683233603,38,0.2551248371601105,0.2550260424613953,0.25441116094589233,0.254854013522466,0.00031573079414486864,80
8,40996,147.3528113365173,48.911138870993966,0.6729033788045248,0.010470402475880774,SELU,3,ae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'ae'}",0.8711751092825919,0.8717695967085244,0.8761410877298247,0.8730285979069804,0.0022142039198291648,31,0.2609772384166717,0.2574417293071747,0.25946807861328125,0.2592956821123759,0.0014485041896102105,64
9,40996,136.66141994794208,28.235919364877926,0.7025318940480552,0.007703675989806866,SELU,3,vae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'vae'}",0.8659038313191052,0.8684695495649938,0.8674409634423349,0.8672714481088114,0.0010542862089414208,47,0.2879776954650879,0.2916606962680817,0.2884479165077209,0.2893621027469635,0.0016366482189174574,23
10,40996,144.3821076552073,20.469906662365712,0.7243336836496989,0.017649129093107986,SELU,3,dae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'dae'}",0.8791463101054255,0.879912570179574,0.8826126087515536,0.8805571630121843,0.001486703627924703,5,0.2681516110897064,0.2674098610877991,0.26656368374824524,0.26737505197525024,0.0006487357274870982,48
11,40996,186.24072472254437,51.92151523880412,0.7189542452494303,0.00251420264841547,SELU,3,sae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'sae'}",0.8764892431644811,0.8726267518107401,0.8769125273218189,0.87534284076568,0.00192832341302373,21,0.2584139406681061,0.2623845934867859,0.26064240932464605,0.2604803144931793,0.0016250593840254242,63
12,40996,162.2624444961548,21.680141089861856,0.7058730125427246,0.02263104509187163,SELU,4,ae,"{'ae__activation': 'selu', 'ae__n_layers': 4, 'ae__type': 'ae'}",0.8744750149995715,0.8755839369133844,0.8773411048729267,0.8758000189286275,0.0011800102735487806,17,0.26392701268196106,0.2629362344741821,0.26161715388298035,0.2628268003463745,0.0009461655207745683,59
13,40996,125.02379854520159,18.04738006097897,0.7110794385274252,0.02656798018255997,SELU,4,vae,"{'ae__activation': 'selu', 'ae__n_layers': 4, 'ae__type': 'vae'}",0.8623467900917117,0.8627266103801483,0.8652123601765741,0.8634285868828112,0.001270813711900821,54,0.2929748594760895,0.29364392161369324,0.2976084649562836,0.2947424153486888,0.0020449272686152748,15
