dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,pooling,strides,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
40996,93.26743642489116,16.975666680345217,1.6798728307088215,0.9979254050239713,,1,cdae,"{'ae__pooling': None, 'ae__strides': 1, 'ae__type': 'cdae'}",0.8718608039770293,0.8728410405862941,0.8703981485449792,0.8716999977027675,0.0010037676938287195,4
40996,183.100936015447,31.88129535059553,0.24019742012023926,0.002323345989175936,,1,cae,"{'ae__pooling': None, 'ae__strides': 1, 'ae__type': 'cae'}",0.8634610439701723,0.8601551450735011,0.860369433849055,0.8613285409642427,0.001510442920151996,6
40996,167.14891600608826,25.361806542005024,2.1986923217773438,1.4264250281802116,,2,cdae,"{'ae__pooling': None, 'ae__strides': 2, 'ae__type': 'cdae'}",0.8760178280620554,0.8765696652809326,0.8759696567093815,0.8761857166841232,0.0002722039842330873,1
40996,258.78187306722003,52.58058128815418,0.19823813438415527,0.005005271181660454,,2,cae,"{'ae__pooling': None, 'ae__strides': 2, 'ae__type': 'cae'}",0.8665466700951402,0.8619123130330433,0.8641409162988043,0.8641999664756627,0.0018924290453087248,5
40996,96.91179060935974,28.704891455607058,1.754225730895996,1.0934649761682098,2,1,cdae,"{'ae__pooling': 2, 'ae__strides': 1, 'ae__type': 'cdae'}",0.8768320905116996,0.8754553636480521,0.8712124458920841,0.8744999666839454,0.0023916087935337243,2
40996,193.32693727811179,22.01756293989614,0.2040379842122396,0.0014220565151087418,2,1,cae,"{'ae__pooling': 2, 'ae__strides': 1, 'ae__type': 'cae'}",0.8699322876489243,0.8745553507907255,0.8753267903827198,0.8732714762741232,0.002382074063642502,3
40996,0.6407528718312582,0.019938477969005764,0.0,0.0,2,2,cdae,"{'ae__pooling': 2, 'ae__strides': 2, 'ae__type': 'cdae'}",,,,,,7
40996,0.6175564130147299,0.007544457418283868,0.0,0.0,2,2,cae,"{'ae__pooling': 2, 'ae__strides': 2, 'ae__type': 'cae'}",,,,,,8
