,clf,split0_ae_fit_time,split0_clf_fit_time,split0_test_accuracy,split0_score_time,split1_ae_fit_time,split1_clf_fit_time,split1_test_accuracy,split1_score_time,split2_ae_fit_time,split2_clf_fit_time,split2_test_accuracy,split2_score_time,dataset_id,hidden_dims,mean_ae_fit_time,mean_clf_fit_time,mean_score_time,mean_test_accuracy
16,DecisionTreeClassifier,25.605811595916748,0.17021608352661133,0.8983050847457628,0.0008640289306640625,24.805963039398193,0.15797996520996094,0.8996088657105606,0.0006272792816162108,30.48866319656372,0.1664128303527832,0.8930202217873451,0.0005428791046142578,44,0.75,26.96681261062622,0.1648696263631185,0.0006780624389648438,0.8969780574145562
17,KNeighborsClassifier,25.605811595916748,0.010041475296020508,0.9165580182529336,0.22664523124694824,24.805963039398193,0.009072542190551758,0.9230769230769232,0.2921273708343506,30.48866319656372,0.009548425674438477,0.9178082191780822,0.24017000198364255,44,0.75,26.96681261062622,0.009554147720336914,0.25298086802164715,0.9191477201693128
18,SVC,23.915452241897587,0.05626082420349121,0.7457627118644068,0.02347707748413086,26.825876951217648,0.060908317565917976,0.7588005215123861,0.023959636688232425,18.515225172042847,0.0604243278503418,0.7801696020874103,0.023627042770385742,44,1.0,23.08551812171936,0.059197823206583663,0.02368791898091634,0.7615776118214009
19,LinearSVC,23.915452241897587,0.026657581329345703,0.9178617992177314,0.0013315677642822266,26.825876951217648,0.029837608337402344,0.926336375488918,0.0014262199401855467,18.515225172042847,0.028514623641967773,0.9269406392694064,0.009184598922729492,44,1.0,23.08551812171936,0.028336604436238606,0.003980795542399089,0.9237129379920184
20,LogisticRegression,23.915452241897587,1.7934956550598145,0.9185136897001304,0.002409219741821289,26.825876951217648,0.8061990737915039,0.9256844850065188,0.003949165344238281,18.515225172042847,1.922086238861084,0.9256360078277888,0.004714488983154297,44,1.0,23.08551812171936,1.5072603225708008,0.003690958023071289,0.9232780608448126
21,GaussianNB,23.915452241897587,0.004601716995239258,0.8187744458930899,0.002380847930908203,26.825876951217648,0.004865169525146484,0.8181225554106909,0.002425670623779297,18.515225172042847,0.004400968551635742,0.8825831702544031,0.0023696422576904297,44,1.0,23.08551812171936,0.004622618357340495,0.002392053604125977,0.839826723852728
22,DecisionTreeClassifier,23.915452241897587,0.2530381679534912,0.8970013037809648,0.0007319450378417969,26.825876951217648,0.2425405979156494,0.9048239895697524,0.0007288455963134767,18.515225172042847,0.2018461227416992,0.8884540117416829,0.0006003379821777344,44,1.0,23.08551812171936,0.23247496287027994,0.0006870428721110027,0.8967597683641334
23,KNeighborsClassifier,23.915452241897587,0.01208186149597168,0.9185136897001304,0.4189219474792481,26.825876951217648,0.012802600860595705,0.9198174706649282,0.4391036033630371,18.515225172042847,0.012183189392089844,0.9197651663405088,0.3140416145324707,44,1.0,23.08551812171936,0.012355883916219076,0.3906890551249185,0.9193654422351892
24,SVC,33.477938175201416,0.08379650115966797,0.6538461538461539,0.03716111183166504,29.924415349960327,0.07645320892333984,0.7653194263363755,0.028354644775390625,18.56308078765869,0.07321834564208984,0.7514677103718199,0.030704021453857425,44,1.25,27.321811437606808,0.07782268524169922,0.032073259353637695,0.7235444301847829
25,LinearSVC,33.477938175201416,0.034189462661743164,0.9354628422425032,0.0015158653259277346,29.924415349960327,0.034951210021972656,0.9191655801825294,0.0016102790832519533,18.56308078765869,0.03768134117126465,0.9262883235485976,0.0013494491577148438,44,1.25,27.321811437606808,0.03560733795166016,0.001491864522298177,0.9269722486578766
